dialect,disgust ,token,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,سخيرة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,سخيره,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,يسخر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,تسخر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مسخرة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مسخره,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,محشش,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,تحشيش,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مقلب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,تهريج,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مهرج,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,يزعل,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مغموم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,غم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مغمومه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مغمومة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مهوم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,هم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مهومة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,ضيم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,الم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,ألم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,متألم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,متالم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,متألمة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,متألمه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,متالمه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,خيبه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,خيبان,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,خايب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,خايبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تعاسه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تعاسة,,,,,,,,,,,,,,,,,,,,,,,
